,Act1(Agriculture).pdf,Act2.pdf,Act3(Premises).pdf,Total
demolition,2,0,0,2
levelling,2,0,0,2
licensed,2,0,0,2
wedding,2,0,0,2
amendment,2,0,0,2
abandoned,1,0,0,1
abattoirs,0,0,1,1
aboriginal,1,0,0,1
above,1,0,0,1
accessory,1,0,0,1
adjacent,1,0,0,1
amended,1,0,0,1
alterations,1,0,0,1
watering,1,0,0,1
vicunas,0,0,1,1
vested,0,1,0,1
vertical,1,0,0,1
vancouver,0,1,0,1
assembly,0,0,1,1
arising,1,0,0,1
aquaculture,1,0,0,1
application,1,0,0,1
appears,1,0,0,1
automation,1,0,0,1
authorizes,0,1,0,1
auctions,0,0,1,1
attached,1,0,0,1
miner,0,1,0,1
milled,1,0,0,1
metal,1,0,0,1
mellifera,0,0,1,1
mazes,1,0,0,1
maximum,0,0,1,1
limitation,1,0,0,1
limit,1,0,0,1
light,1,0,0,1
lies,0,1,0,1
liable,0,1,0,1
letters,0,0,1,1
letter,1,0,0,1
mains,1,0,0,1
lumber,1,0,0,1
listed,0,0,1,1
legal,0,0,1,1
lease,0,1,0,1
layer,1,0,0,1
last,1,0,0,1
landscaping,1,0,0,1
lake,1,0,0,1
laboratories,0,0,1,1
known,1,0,0,1
mules,0,0,1,1
mulch,1,0,0,1
mixing,1,0,0,1
mink,0,0,1,1
mining,0,1,0,1
minimum,1,0,0,1
minimizes,1,0,0,1
mines,0,1,0,1
intensive,1,0,0,1
intensify,1,0,0,1
integrated,1,0,0,1
insemination,0,0,1,1
notifications,0,0,1,1
nothing,1,0,0,1
nor,1,0,0,1
new,1,0,0,1
neither,1,0,0,1
music,1,0,0,1
iv,0,0,1,1
irrigating,1,0,0,1
involving,0,0,1,1
involves,1,0,0,1
invitees,1,0,0,1
length,1,0,0,1
included,0,1,0,1
improvements,0,1,0,1
oil,0,1,0,1
ofthe,1,0,0,1
officer,0,0,1,1
offered,1,0,0,1
occur,1,0,0,1
occupies,1,0,0,1
nutrients,1,0,0,1
nutria,0,0,1,1
invited,1,0,0,1
invite,1,0,0,1
introducing,1,0,0,1
interruption,1,0,0,1
interfere,1,0,0,1
intention,1,0,0,1
ilwwwbclaws,0,1,0,1
ilamas,0,0,1,1
ij,1,0,0,1
identifier,0,0,1,1
identifiable,0,0,1,1
hydroelectric,1,0,0,1
ordinates,0,0,1,1
ordinarily,1,0,0,1
operator,0,1,0,1
open,1,0,0,1
ingredient,1,0,0,1
industry,1,0,0,1
industrial,0,1,0,1
increasing,1,0,0,1
increased,1,0,0,1
incorporated,1,0,0,1
particular,0,0,1,1
particle,1,0,0,1
participating,0,0,1,1
parking,1,0,0,1
paper,1,0,0,1
packing,1,0,0,1
owns,0,0,1,1
owned,0,1,0,1
outside,0,1,0,1
humus,1,0,0,1
hudson,1,0,0,1
hours,1,0,0,1
hospitals,0,0,1,1
hope,1,0,0,1
higher,1,0,0,1
imposed,1,0,0,1
hay,0,1,0,1
hatching,0,0,1,1
hatcheries,0,0,1,1
harvesting,1,0,0,1
harvest,1,0,0,1
guinea,0,0,1,1
guanacos,0,0,1,1
growth,1,0,0,1
permission,1,0,0,1
period,1,0,0,1
peafowl,0,0,1,1
peace,1,0,0,1
paying,0,1,0,1
pastures,0,0,1,1
pass,1,0,0,1
partly,0,1,0,1
growing,1,0,0,1
ground,1,0,0,1
grazing,0,1,0,1
granting,1,0,0,1
grade,1,0,0,1
governing,1,0,0,1
good,1,0,0,1
goats,0,0,1,1
placement,1,0,0,1
place,1,0,0,1
pipelines,1,0,0,1
pigeons,0,0,1,1
pheasants,0,0,1,1
pet,1,0,0,1
pest,1,0,0,1
personal,0,0,1,1
gatherings,1,0,0,1
gathered,1,0,0,1
free,0,1,0,1
fox,0,0,1,1
fowl,0,0,1,1
forward,0,0,1,1
preparing,1,0,0,1
prepared,1,0,0,1
practice,1,0,0,1
practicable,1,0,0,1
poultry,0,0,1,1
potential,1,0,0,1
pork,0,0,1,1
polymers,1,0,0,1
plastic,1,0,0,1
planning,0,0,1,1
festival,1,0,0,1
fertilizer,1,0,0,1
fermentation,1,0,0,1
feedlots,0,0,1,1
feed,1,0,0,1
family,1,0,0,1
fallow,0,0,1,1
fairgrounds,0,0,1,1
extrajurisdictional,0,0,1,1
productivity,1,0,0,1
producers,0,0,1,1
prevents,1,0,0,1
flooding,1,0,0,1
fisher,0,0,1,1
georeferenced,0,0,1,1
geese,0,0,1,1
engaging,1,0,0,1
energy,1,0,0,1
ends,1,0,0,1
endorsed,1,0,0,1
protect,1,0,0,1
properties,1,0,0,1
promoting,1,0,0,1
promote,1,0,0,1
project,1,0,0,1
extent,1,0,0,1
exhibitions,0,0,1,1
exhibit,1,0,0,1
executive,0,0,1,1
excluding,1,0,0,1
events,1,0,0,1
festivals,1,0,0,1
effective,0,0,1,1
educational,1,0,0,1
economic,1,0,0,1
racing,1,0,0,1
racetracks,0,0,1,1
racetrack,1,0,0,1
rabbits,0,0,1,1
quail,0,0,1,1
pursuant,0,1,0,1
pumphouses,1,0,0,1
public,1,0,0,1
provision,1,0,0,1
province,0,0,1,1
equal,1,0,0,1
entirely,1,0,0,1
entered,0,0,1,1
refuge,1,0,0,1
reference,1,0,0,1
recreational,1,0,0,1
recovered,1,0,0,1
rebar,1,0,0,1
reasonably,1,0,0,1
reasonable,1,0,0,1
realigning,1,0,0,1
ratites,0,0,1,1
ratio,1,0,0,1
railway,1,0,0,1
employees,1,0,0,1
emergencies,0,0,1,1
elsewhere,1,0,0,1
eligibility,1,0,0,1
effects,1,0,0,1
ease,1,0,0,1
earthy,1,0,0,1
during,1,0,0,1
duration,1,0,0,1
ducks,0,0,1,1
drywall,1,0,0,1
driving,1,0,0,1
drilling,1,0,0,1
dress,1,0,0,1
draining,1,0,0,1
doves,0,0,1,1
relation,1,0,0,1
reindeer,0,0,1,1
rehabilitation,1,0,0,1
rehabilitated,1,0,0,1
regulations,0,0,1,1
dog,1,0,0,1
disturbed,1,0,0,1
disposal,0,0,1,1
displayed,1,0,0,1
disclosed,0,0,1,1
directly,0,0,1,1
requirements,0,0,1,1
require,0,0,1,1
requests,0,0,1,1
request,0,0,1,1
represented,0,1,0,1
rental,0,1,0,1
rendering,0,0,1,1
removing,1,0,0,1
relies,1,0,0,1
relationship,0,0,1,1
decision,1,0,0,1
dealing,0,0,1,1
resulting,1,0,0,1
restrict,1,0,0,1
restored,1,0,0,1
resource,1,0,0,1
resident,0,1,0,1
developing,1,0,0,1
developed,1,0,0,1
despite,1,0,0,1
derived,1,0,0,1
depth,1,0,0,1
demonstration,1,0,0,1
deliberately,1,0,0,1
donkeys,0,0,1,1
domestic,1,0,0,1
creation,1,0,0,1
cranberries,1,0,0,1
costs,0,1,0,1
corporation,0,1,0,1
safety,1,0,0,1
runoff,1,0,0,1
rubble,1,0,0,1
rubber,1,0,0,1
rotating,1,0,0,1
river,1,0,0,1
rides,1,0,0,1
return,1,0,0,1
retaining,1,0,0,1
deer,0,0,1,1
declaring,1,0,0,1
declared,1,0,0,1
selling,1,0,0,1
seized,1,0,0,1
sectionz,1,0,0,1
sections,0,0,1,1
screen,1,0,0,1
satisfied,0,0,1,1
sand,1,0,0,1
sampling,1,0,0,1
samples,1,0,0,1
salvaged,1,0,0,1
cutting,0,1,0,1
cuts,1,0,0,1
curve,1,0,0,1
cultivable,1,0,0,1
crushed,1,0,0,1
crops,1,0,0,1
converting,1,0,0,1
controls,1,0,0,1
contrary,1,0,0,1
contract,1,0,0,1
continuous,1,0,0,1
continues,1,0,0,1
contaminants,1,0,0,1
contact,0,0,1,1
consumed,1,0,0,1
shows,1,0,0,1
sheltering,1,0,0,1
sheep,0,0,1,1
sewers,1,0,0,1
serving,1,0,0,1
series,0,0,1,1
september,0,1,0,1
competitions,0,0,1,1
community,0,0,1,1
commonly,1,0,0,1
commodity,1,0,0,1
sold,1,0,0,1
societies,0,0,1,1
smaller,1,0,0,1
sleigh,1,0,0,1
since,1,0,0,1
consisting,1,0,0,1
consistent,1,0,0,1
considered,1,0,0,1
conditioners,1,0,0,1
composting,1,0,0,1
cooperative,1,0,0,1
cooking,1,0,0,1
clearing,1,0,0,1
classes,0,1,0,1
circumstance,0,0,1,1
street,0,0,1,1
stoppages,1,0,0,1
stage,1,0,0,1
stables,0,0,1,1
stabilized,1,0,0,1
specified,1,0,0,1
soon,1,0,0,1
composed,0,0,1,1
complies,1,0,0,1
complied,1,0,0,1
compliance,1,0,0,1
completing,1,0,0,1
completed,1,0,0,1
certainty,1,0,0,1
centres,0,0,1,1
cement,1,0,0,1
celebration,1,0,0,1
ceases,0,0,1,1
taking,1,0,0,1
systems,1,0,0,1
synthetic,1,0,0,1
swine,0,0,1,1
surrendered,1,0,0,1
combined,1,0,0,1
combat,1,0,0,1
collecting,1,0,0,1
code,0,1,0,1
coal,0,1,0,1
co,0,0,1,1
came,1,0,0,1
calendar,1,0,0,1
bylaws,1,0,0,1
they,1,0,0,1
these,1,0,0,1
them,1,0,0,1
terms,0,0,1,1
tenures,0,0,1,1
tent,1,0,0,1
tenant,0,1,0,1
chinchilla,0,0,1,1
chief,0,0,1,1
chickens,0,0,1,1
chicken,0,0,1,1
charlie,1,0,0,1
changed,1,0,0,1
breeding,1,0,0,1
boundaries,0,1,0,1
botanical,1,0,0,1
body,1,0,0,1
boars,0,0,1,1
tractor,1,0,0,1
tour,1,0,0,1
top,1,0,0,1
title,0,1,0,1
threat,1,0,0,1
cart,1,0,0,1
caring,1,0,0,1
caribou,0,0,1,1
carcass,0,0,1,1
capacity,0,0,1,1
campsite,1,0,0,1
beneficial,1,0,0,1
turkeys,0,0,1,1
turkey,0,0,1,1
trunk,1,0,0,1
trials,1,0,0,1
trenches,1,0,0,1
trees,1,0,0,1
treated,1,0,0,1
tray,1,0,0,1
trapline,0,1,0,1
transferred,0,1,0,1
trailer,1,0,0,1
bylaw,1,0,0,1
building,1,0,0,1
buffalo,0,0,1,1
broiler,0,0,1,1
assign,0,0,1,1
urban,1,0,0,1
until,1,0,0,1
units,1,0,0,1
unit,1,0,0,1
unique,0,0,1,1
unchipped,1,0,0,1
began,1,0,0,1
beef,0,0,1,1
bed,1,0,0,1
boarded,1,0,0,1
bison,0,0,1,1
biological,1,0,0,1
beyond,1,0,0,1
berry,1,0,0,1
berms,1,0,0,1
administrator,0,0,1,1
wider,1,0,0,1
wholly,0,1,0,1
whole,1,0,0,1
when,1,0,0,1
wetland,1,0,0,1
wells,0,1,0,1
also,1,0,0,1
alpacas,0,0,1,1
air,1,0,0,1
agroforestry,1,0,0,1
affect,0,0,1,1
adversely,0,0,1,1
app,0,1,0,1
apis,0,0,1,1
amount,1,0,0,1
materials,1,0,0,1
material,1,0,0,1
masonry,1,0,0,1
marten,0,0,1,1
market,1,0,0,1
manure,1,0,0,1
manager,0,0,1,1
manage,1,0,0,1
maintenance,1,0,0,1
years,1,0,0,1
yards,0,0,1,1
yaks,0,0,1,1
would,1,0,0,1
work,1,0,0,1
wild,0,0,1,1
adverse,1,0,0,1
TOTAL,5490,718,1690,7898
